Admin1 name,Admin1 pcode,Admin2 name,Admin2 pcode,Host Community_PiN,IDPs_PiN,Non-displaced Population_PiN,Refugees_PiN,Host Community_Targeted,IDPsHost Community_Targeted,Non-displaced PopulationHost Community_Targeted,RefugeesHost Community_Targeted
North Darfur,SD02,Kutum,SD02128," 13,946 "," 114,582 "," 56,166 ", -   ," 13,946 "," 80,208 "," 37,123 ", -   
North Darfur,SD02,Melit,SD02129," 21,554 "," 21,554 "," 36,131 ", -   ," 21,554 "," 21,554 "," 20,941 ", -   
North Darfur,SD02,Saraf Omra,SD02133," 78,644 "," 78,644 ", -   , -   ," 39,322 "," 44,195 ", -   , -   
North Darfur,SD02,Um Kadadah,SD02136, 750 , 750 ," 43,165 ", -   , 750 , 750 ," 12,921 ", -   
North Darfur,SD02,Kernoi,SD02168, 255 , 255 ," 43,272 ", -   , 255 , 255 ," 7,438 ", -   
North Darfur,SD02,Al Lait,SD02169," 32,704 "," 10,152 "," 11,205 "," 22,551 "," 32,704 "," 10,152 "," 9,167 "," 22,551 "
North Darfur,SD02,Tawila,SD02170," 3,885 "," 107,408 "," 29,526 ", -   ," 3,885 "," 75,185 "," 13,706 ", -   
North Darfur,SD02,At Tina,SD02171," 4,815 "," 4,815 "," 10,004 ", -   ," 4,815 "," 4,815 "," 9,918 ", -   
South Darfur,SD03,Al Radoum,SD03141," 51,138 "," 34,870 "," 13,029 "," 16,268 "," 51,138 "," 34,870 "," 3,581 "," 16,268 "
South Darfur,SD03,Ed Al Fursan,SD03143," 3,610 "," 3,610 "," 86,235 ", -   ," 3,610 "," 3,610 "," 41,284 ", -   
South Darfur,SD03,Kas,SD03144," 124,125 "," 128,069 ", -   , -   ," 62,063 "," 64,035 ", -   , -   
South Darfur,SD03,Mershing,SD03145," 41,178 "," 52,848 "," 8,767 ", -   ," 41,178 "," 52,848 "," 3,378 ", -   
South Darfur,SD03,Um Dafoug,SD03146," 5,017 ", 937 ," 29,772 "," 4,080 "," 5,017 ", 937 ," 19,243 "," 4,080 "
South Darfur,SD03,Sharg Aj Jabal,SD03147," 3,824 "," 3,824 "," 4,588 ", -   ," 3,824 "," 3,824 "," 4,588 ", -   
South Darfur,SD03,Tulus,SD03149," 3,757 "," 3,757 "," 76,432 ", -   ," 3,757 "," 3,757 "," 65,804 ", -   
South Darfur,SD03,Al Wihda,SD03150," 8,405 "," 8,405 "," 20,180 ", -   ," 8,405 "," 8,405 "," 17,936 ", -   
South Darfur,SD03,Nitega,SD03151," 22,959 "," 22,959 "," 35,345 ", -   ," 11,479 "," 22,959 "," 12,884 ", -   
South Darfur,SD03,Gereida,SD03153," 31,651 "," 136,232 "," 48,701 ", -   ," 22,156 "," 95,362 "," 27,349 ", -   
South Darfur,SD03,Shattaya,SD03154, -   , -   ," 26,785 ", -   , -   , -   ," 12,835 ", -   
South Darfur,SD03,As Sunta,SD03156," 4,950 "," 4,950 "," 71,694 ", -   ," 3,146 "," 4,950 "," 48,161 ", -   
South Darfur,SD03,Kubum,SD03157," 3,732 "," 3,732 "," 65,456 ", -   ," 3,732 "," 3,732 "," 40,900 ", -   
South Darfur,SD03,Rehaid Albirdi,SD03158," 6,950 "," 6,950 "," 95,110 ", -   ," 6,950 "," 5,685 "," 55,056 ", -   
South Darfur,SD03,Kateila,SD03159," 10,917 "," 10,917 "," 44,721 ", -   ," 10,917 "," 10,917 "," 19,908 ", -   
South Darfur,SD03,Buram,SD03161," 43,663 "," 42,971 "," 45,151 ", 692 ," 21,832 "," 22,452 "," 24,091 ", 692 
South Darfur,SD03,Beliel,SD03162," 17,566 "," 432,976 "," 118,869 "," 6,408 "," 17,566 "," 303,083 "," 79,246 "," 6,408 "
South Darfur,SD03,Nyala Shimal,SD03164," 302,166 "," 305,428 ", -   , -   ," 60,206 "," 183,257 ", -   , -   
South Darfur,SD03,As Salam - SD,SD03166," 12,391 "," 11,130 "," 40,226 "," 1,261 "," 12,202 "," 7,674 "," 22,911 "," 1,261 "
South Darfur,SD03,Nyala Janoub,SD03167," 129,389 "," 129,389 "," 50,812 "," 5,307 "," 36,229 "," 77,633 "," 20,325 "," 5,307 "
South Darfur,SD03,Damso,SD03172," 7,233 "," 5,187 "," 53,655 "," 2,046 "," 7,233 "," 5,187 "," 35,028 "," 2,046 "
West Darfur,SD04,Beida,SD04111," 25,648 "," 25,648 "," 74,759 ", -   ," 17,954 "," 18,325 "," 50,669 ", -   
West Darfur,SD04,Ag Geneina,SD04115," 16,463 "," 16,088 "," 321,308 ", 375 ," 16,463 "," 16,088 "," 321,308 ", 375 
West Darfur,SD04,Foro Baranga,SD04121," 7,810 "," 7,810 "," 49,479 ", -   ," 7,810 "," 7,810 "," 26,038 ", -   
West Darfur,SD04,Habila - WD,SD04122," 40,622 "," 40,567 "," 33,195 ", 55 ," 28,435 "," 28,397 "," 14,354 ", 55 
West Darfur,SD04,Jebel Moon,SD04123," 10,772 "," 51,295 "," 30,866 ", -   ," 7,541 "," 35,907 "," 13,889 ", -   
West Darfur,SD04,Kereneik,SD04125," 38,404 "," 38,404 "," 125,976 ", -   ," 26,882 "," 26,882 "," 36,249 ", -   
West Darfur,SD04,Kulbus,SD04127," 17,241 "," 38,373 "," 11,801 ", -   ," 17,241 "," 26,861 "," 11,801 ", -   
West Darfur,SD04,Sirba,SD04134," 3,564 "," 3,564 "," 69,932 ", -   ," 3,564 "," 3,564 "," 47,277 ", -   
East Darfur,SD05,Adila,SD05139," 53,903 "," 49,822 "," 8,596 "," 4,081 "," 10,031 "," 12,456 "," 8,596 "," 4,081 "
East Darfur,SD05,Abu Jabrah,SD05140," 49,741 "," 40,760 "," 3,364 "," 8,981 "," 20,596 "," 20,253 "," 3,364 "," 8,981 "
East Darfur,SD05,Ad Du'ayn,SD05142," 88,709 "," 154,785 ", -   , 524 ," 44,355 "," 80,875 ", -   , 524 
East Darfur,SD05,Shia'ria,SD05148," 4,032 "," 77,325 "," 39,911 ", -   ," 4,032 "," 54,128 "," 16,228 ", -   
East Darfur,SD05,Al Firdous,SD05152," 7,937 "," 41,320 "," 51,220 "," 6,275 "," 7,937 "," 27,992 "," 30,045 "," 6,275 "
East Darfur,SD05,Abu Karinka,SD05155," 36,649 "," 34,056 "," 39,972 "," 2,593 "," 22,064 "," 17,794 "," 21,696 "," 2,593 "
East Darfur,SD05,Bahr Al Arab,SD05160," 84,774 "," 49,920 "," 20,438 "," 34,834 "," 42,387 "," 28,083 "," 10,264 "," 34,834 "
