,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sector,Funded (US$),%,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,"$10,196,141",0.70%,,,,,,,,,,,,,,,,,,,,,,,
Camp Coordination / Management,"$9,384,835",0.70%,,,,,,,,,,,,,,,,,,,,,,,
Coordination and support services,"$31,152,165",2.20%,,,,,,,,,,,,,,,,,,,,,,,
Education,"$24,859,678",1.80%,,,,,,,,,,,,,,,,,,,,,,,
Emergency Shelter and NFI,"$42,373,828",3.00%,,,,,,,,,,,,,,,,,,,,,,,
Food Security,"$561,588,613",40.40%,,,,,,,,,,,,,,,,,,,,,,,
Health,"$99,596,332",7.20%,,,,,,,,,,,,,,,,,,,,,,,
Logistics,"$55,773,334",4.00%,,,,,,,,,,,,,,,,,,,,,,,
Multi-sector,"$33,699,857",2.40%,,,,,,,,,,,,,,,,,,,,,,,
Multipurpose Cash,"$23,396,082",1.70%,,,,,,,,,,,,,,,,,,,,,,,
Nutrition,"$158,756,054",11.40%,,,,,,,,,,,,,,,,,,,,,,,
Other,"$11,104,907",0.80%,,,,,,,,,,,,,,,,,,,,,,,
Protection,"$30,340,914",2.20%,,,,,,,,,,,,,,,,,,,,,,,
Protection - Child Protection,"$32,172,590",2.30%,,,,,,,,,,,,,,,,,,,,,,,
Protection - Gender-Based Violence,"$18,324,545",1.30%,,,,,,,,,,,,,,,,,,,,,,,
"Protection - Housing, Land and Property","$5,455,050",0.40%,,,,,,,,,,,,,,,,,,,,,,,
Protection - Mine Action,"$4,371,241",0.30%,,,,,,,,,,,,,,,,,,,,,,,
Water Sanitation Hygiene,"$69,232,948",5.00%,,,,,,,,,,,,,,,,,,,,,,,
Not specified,"$28,207,110",2.00%,,,,,,,,,,,,,,,,,,,,,,,
Multiple Sectors (shared),"$139,766,069",10.10%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
This graph shows the level of all reported humanitarian funding for the Country both inside and outside the Response plan/appeal by technical area/sector,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
