Admin1 name,Admin1 pcode,Admin2 name,Admin2 pcode,People In Need,People Targeted
South Kordofan,SD07,At Tadamon - SK,SD07106,"45,832","25,051"
South Kordofan,SD07,Delami,SD07107,"25,415","20,408"
South Kordofan,SD07,Ghadeer,SD07108,"58,995","38,801"
Blue Nile,SD08,Baw,SD08104,"99,452","51,080"
Blue Nile,SD08,Ed Damazine,SD08105,"123,943","73,358"
Blue Nile,SD08,Al Kurmuk,SD08106,"80,344","63,758"
Blue Nile,SD08,Ar Rusayris,SD08107,"103,677","65,886"
Blue Nile,SD08,At Tadamon - BN,SD08108,"50,990","35,607"
Blue Nile,SD08,Geisan,SD08109,"69,743","47,563"
Blue Nile,SD08,Wad Al Mahi,SD08110,"55,038","53,378"
White Nile,SD09,Ad Diwaim,SD09044,"181,754","110,078"
White Nile,SD09,Um Rimta,SD09045,"66,937","55,055"
White Nile,SD09,Rabak,SD09046,"121,723","32,856"
White Nile,SD09,Kosti,SD09047,"146,620","116,606"
White Nile,SD09,Tendalti,SD09048,"87,322","41,872"
White Nile,SD09,As Salam / Ar Rawat,SD09049,"385,775","287,776"
White Nile,SD09,Al Gitaina,SD09050,"198,498","11,680"
White Nile,SD09,Aj Jabalain,SD09051,"342,245","251,340"
White Nile,SD09,Guli,SD09052,"228,002","73,098"
Red Sea,SD10,Dordieb,SD10063,"23,217","10,821"
Red Sea,SD10,Port Sudan,SD10064,"271,265","148,865"
Red Sea,SD10,Tawkar,SD10065,"64,768","33,400"
Red Sea,SD10,Hala'ib,SD10066,"16,046","7,221"
Red Sea,SD10,Jubayt Elma'aadin,SD10067,"33,292","12,148"
Red Sea,SD10,Sawakin,SD10068,"16,958","6,015"
Red Sea,SD10,Al Ganab,SD10069,"48,202","23,732"
Red Sea,SD10,Haya,SD10070,"147,455","69,683"
Red Sea,SD10,Sinkat,SD10071,"49,343","24,375"
Red Sea,SD10,Agig,SD10072,"39,523","17,282"
Kassala,SD11,Halfa Aj Jadeedah,SD11052,"141,434","115,141"
Kassala,SD11,Madeinat Kassala,SD11053,"172,370","134,559"
Kassala,SD11,Reifi Gharb Kassala,SD11054,"106,798","49,947"
Kassala,SD11,Reifi Aroma,SD11055,"81,906","37,925"
Kassala,SD11,Reifi Kassla,SD11056,"92,335","66,473"
Kassala,SD11,Reifi Shamal Ad Delta,SD11057,"80,143","43,120"
Kassala,SD11,Reifi Hamashkureib,SD11058,"217,712","99,746"
Kassala,SD11,Reifi Telkok,SD11059,"185,377","101,375"
Kassala,SD11,Reifi Khashm Elgirba,SD11060,"79,474","52,608"
Kassala,SD11,Reifi Wad Elhilaiw,SD11061,"150,960","114,206"
Kassala,SD11,Reifi Nahr Atbara,SD11062,"120,823","58,498"
Gedaref,SD12,Al Butanah,SD12073,"54,075","35,125"
Gedaref,SD12,Al Fao,SD12074,"79,254","51,381"
Gedaref,SD12,Al Fashaga,SD12075,"47,385","26,817"
Gedaref,SD12,Al Qureisha,SD12076,"65,507","34,364"
Gedaref,SD12,Basundah,SD12077,"68,569","68,569"
Gedaref,SD12,Al Galabat Al Gharbyah - Kassab,SD12078,"65,472","41,318"
Gedaref,SD12,Gala'a Al Nahal,SD12079,"58,346","33,456"
Gedaref,SD12,Madeinat Al Gedaref,SD12080,"194,302","93,211"
Gedaref,SD12,Wasat Al Gedaref,SD12081,"96,472","89,354"
Gedaref,SD12,Al Mafaza,SD12082,"87,260","65,250"
Gedaref,SD12,Galabat Ash-Shargiah,SD12083,"112,881","112,881"
